observed_at,source,season,date,home_name,away_name,home,away,home_goals,away_goals,home_xg,away_xg,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_corners,away_corners
2026-08-20T1514Z,football-data,2324,2024-04-21,Almeria,Villarreal,,villarreal,1,2,,,24,11,5,3,5,2
2026-08-20T1514Z,football-data,2324,2024-04-21,Alaves,Ath Madrid,alaves,atletico,2,0,,,8,15,3,4,1,11
2026-08-20T1514Z,football-data,2324,2024-04-21,Real Madrid,Barcelona,real-madrid,barcelona,3,2,,,14,14,8,6,2,8
2026-08-20T1514Z,football-data,2324,2024-04-22,Sevilla,Mallorca,sevilla,,2,1,,,11,8,4,6,4,4
2026-08-20T1514Z,football-data,2324,2024-04-26,Sociedad,Real Madrid,real-sociedad,real-madrid,0,1,,,9,5,3,3,11,3
2026-08-20T1514Z,football-data,2324,2024-04-27,Las Palmas,Girona,,,0,2,,,10,6,5,3,4,2
2026-08-20T1514Z,football-data,2324,2024-04-27,Almeria,Getafe,,getafe,1,3,,,21,8,11,5,9,2
2026-08-20T1514Z,football-data,2324,2024-04-27,Alaves,Celta,alaves,celta,3,0,,,16,4,8,0,8,3
2026-08-20T1514Z,football-data,2324,2024-04-27,Ath Madrid,Ath Bilbao,atletico,athletic,3,1,,,8,7,3,1,3,5
2026-08-20T1514Z,football-data,2324,2024-04-28,Cadiz,Mallorca,,,1,1,,,10,9,2,2,3,1
2026-08-20T1514Z,football-data,2324,2024-04-28,Granada,Osasuna,,osasuna,3,0,,,12,11,4,2,0,6
2026-08-20T1514Z,football-data,2324,2024-04-28,Villarreal,Vallecano,villarreal,rayo-vallecano,3,0,,,15,20,7,4,3,6
2026-08-20T1514Z,football-data,2324,2024-04-28,Betis,Sevilla,betis,sevilla,1,1,,,15,10,5,1,4,6
2026-08-20T1514Z,football-data,2324,2024-04-29,Barcelona,Valencia,barcelona,valencia,4,2,,,27,5,13,3,15,1
2026-08-20T1514Z,football-data,2324,2024-05-03,Getafe,Ath Bilbao,getafe,athletic,0,2,,,34,7,9,2,10,6
2026-08-20T1514Z,football-data,2324,2024-05-04,Sociedad,Las Palmas,real-sociedad,,2,0,,,9,7,4,1,7,2
2026-08-20T1514Z,football-data,2324,2024-05-04,Real Madrid,Cadiz,real-madrid,,3,0,,,19,7,9,2,7,4
2026-08-20T1514Z,football-data,2324,2024-05-04,Girona,Barcelona,,barcelona,4,2,,,9,16,7,7,5,4
2026-08-20T1514Z,football-data,2324,2024-05-04,Mallorca,Ath Madrid,,atletico,0,1,,,7,9,4,4,6,2
2026-08-20T1514Z,football-data,2324,2024-05-05,Osasuna,Betis,osasuna,betis,0,2,,,12,10,2,4,8,5
2026-08-20T1514Z,football-data,2324,2024-05-05,Celta,Villarreal,celta,villarreal,3,2,,,23,11,7,3,2,1
2026-08-20T1514Z,football-data,2324,2024-05-05,Valencia,Alaves,valencia,alaves,0,1,,,13,14,1,4,5,7
2026-08-20T1514Z,football-data,2324,2024-05-05,Sevilla,Granada,sevilla,,3,0,,,11,8,5,3,5,4
2026-08-20T1514Z,football-data,2324,2024-05-05,Vallecano,Almeria,rayo-vallecano,,0,1,,,27,7,10,2,9,2
2026-08-20T1514Z,football-data,2324,2024-05-10,Alaves,Girona,alaves,,2,2,,,14,15,8,5,5,3
2026-08-20T1514Z,football-data,2324,2024-05-11,Mallorca,Las Palmas,,,1,0,,,7,7,2,1,2,2
2026-08-20T1514Z,football-data,2324,2024-05-11,Villarreal,Sevilla,villarreal,sevilla,3,2,,,25,8,7,4,10,1
2026-08-20T1514Z,football-data,2324,2024-05-11,Granada,Real Madrid,,real-madrid,0,4,,,12,13,1,7,8,5
2026-08-20T1514Z,football-data,2324,2024-05-11,Ath Bilbao,Osasuna,athletic,osasuna,2,2,,,15,13,6,3,8,6
2026-08-20T1514Z,football-data,2324,2024-05-12,Cadiz,Getafe,,getafe,1,0,,,13,10,6,4,6,2
2026-08-20T1514Z,football-data,2324,2024-05-12,Ath Madrid,Celta,atletico,celta,1,0,,,21,6,8,2,4,7
2026-08-20T1514Z,football-data,2324,2024-05-12,Valencia,Vallecano,valencia,rayo-vallecano,0,0,,,13,12,5,1,6,3
2026-08-20T1514Z,football-data,2324,2024-05-12,Betis,Almeria,betis,,3,2,,,14,14,7,7,3,5
2026-08-20T1514Z,football-data,2324,2024-05-13,Barcelona,Sociedad,barcelona,real-sociedad,2,0,,,14,10,5,3,6,2
2026-08-20T1514Z,football-data,2324,2024-05-14,Osasuna,Mallorca,osasuna,,1,1,,,10,10,4,4,2,4
2026-08-20T1514Z,football-data,2324,2024-05-14,Real Madrid,Alaves,real-madrid,alaves,5,0,,,22,18,11,10,4,1
2026-08-20T1514Z,football-data,2324,2024-05-14,Girona,Villarreal,,villarreal,0,1,,,22,11,5,3,5,1
2026-08-20T1514Z,football-data,2324,2024-05-15,Sevilla,Cadiz,sevilla,,0,1,,,14,19,3,7,1,9
2026-08-20T1514Z,football-data,2324,2024-05-15,Vallecano,Granada,rayo-vallecano,,2,1,,,18,10,9,1,6,6
2026-08-20T1514Z,football-data,2324,2024-05-15,Celta,Ath Bilbao,celta,athletic,2,1,,,10,7,4,2,2,3
2026-08-20T1514Z,football-data,2324,2024-05-15,Getafe,Ath Madrid,getafe,atletico,0,3,,,8,7,3,3,6,3
2026-08-20T1514Z,football-data,2324,2024-05-16,Las Palmas,Betis,,betis,2,2,,,16,6,9,4,4,8
2026-08-20T1514Z,football-data,2324,2024-05-16,Almeria,Barcelona,,barcelona,0,2,,,12,16,3,7,4,7
2026-08-20T1514Z,football-data,2324,2024-05-16,Sociedad,Valencia,real-sociedad,valencia,1,0,,,10,7,5,3,3,3
2026-08-20T1514Z,football-data,2324,2024-05-18,Alaves,Getafe,alaves,getafe,1,0,,,9,10,2,4,2,1
2026-08-20T1514Z,football-data,2324,2024-05-19,Ath Bilbao,Sevilla,athletic,sevilla,2,0,,,15,9,6,4,8,3
2026-08-20T1514Z,football-data,2324,2024-05-19,Ath Madrid,Osasuna,atletico,osasuna,1,4,,,15,15,2,6,7,5
2026-08-20T1514Z,football-data,2324,2024-05-19,Barcelona,Vallecano,barcelona,rayo-vallecano,3,0,,,14,15,6,4,7,5
