observed_at,source,match_id,team_slug,player_name,player_slug,role,minute
2026-08-17T1014Z,futbolfantasy,22427,racing,Maguette,maguette-gueye,sub,68
2026-08-17T1014Z,futbolfantasy,22427,racing,Diego Diaz,diego-diaz,sub,76
2026-08-17T1014Z,futbolfantasy,22427,racing,Vallecillo,andres-vallecillo,sub,
2026-08-17T1014Z,futbolfantasy,22427,racing,Castellanos,jorge-castellanos,sub,
2026-08-17T1014Z,futbolfantasy,22427,racing,Hugo Pérez,hugo-perez-2,sub,
2026-08-17T1014Z,futbolfantasy,22427,racing,Hugo Martín,hugo-martin-1,sub,
2026-08-17T1014Z,futbolfantasy,22427,racing,Arana,juan-carlos-arana,sub,
2026-08-17T1014Z,futbolfantasy,22427,racing,Zabiri,yassir-zabiri,sub,68
2026-08-17T1014Z,futbolfantasy,22427,villarreal,Luiz Junior,luiz-junior,starter,
2026-08-17T1014Z,futbolfantasy,22427,villarreal,Foyth,juan-foyth,starter,
2026-08-17T1014Z,futbolfantasy,22427,villarreal,Veiga,renato-veiga,starter,
