observed_at,source,team_slug,player_name,player_slug,role,start_pct,status,note
2026-08-11T1439Z,futbolfantasy,espanyol,Unai Núñez,unai-nunez,starter,50,ok,
2026-08-11T1439Z,futbolfantasy,espanyol,Urko González de Zarate,urko-gonzalez-de-zarate,starter,80,ok,
2026-08-11T1439Z,futbolfantasy,espanyol,Edu Expósito,edu-exposito,starter,80,ok,
2026-08-11T1439Z,futbolfantasy,espanyol,Tyrhys Dolan,tyrhys-dolan,starter,50,ok,
2026-08-11T1439Z,futbolfantasy,espanyol,Marko Dmitrovic,marko-dmitrovic,starter,95,ok,
2026-08-11T1439Z,futbolfantasy,espanyol,Javier Hernández,javier-hernandez,starter,50,ok,
2026-08-11T1439Z,futbolfantasy,espanyol,Roberto Fernández,roberto-fernandez-1,starter,70,ok,
2026-08-11T1439Z,futbolfantasy,espanyol,Pere Milla,pere-milla,sub,50,ok,
2026-08-11T1439Z,futbolfantasy,espanyol,Jofre Carreras,jofre-carreras,sub,50,ok,
2026-08-11T1439Z,futbolfantasy,espanyol,Pol Lozano,pol-lozano,sub,50,ok,
2026-08-11T1439Z,futbolfantasy,espanyol,Quilindschy Hartman,quilindschy-hartman,sub,50,ok,
2026-08-11T1439Z,futbolfantasy,espanyol,Clemens Riedel,clemens-riedel,sub,50,ok,
2026-08-11T1439Z,futbolfantasy,espanyol,Marcos Fernández,marcos-fernandez-1,sub,30,ok,
2026-08-11T1439Z,futbolfantasy,espanyol,Gabriel Moscardo,gabriel-moscardo,sub,30,ok,
2026-08-11T1439Z,futbolfantasy,espanyol,Rafel Bauzà,rafel-bauza,sub,10,ok,
2026-08-11T1439Z,futbolfantasy,espanyol,Miguel Ángel Rubio,miguel-ngel-rubio,sub,5,ok,
2026-08-11T1439Z,futbolfantasy,espanyol,Ángel Fortuño,ngel-fortuno,sub,5,ok,
2026-08-11T1439Z,futbolfantasy,espanyol,Rubén Sánchez,ruben-sanchez-1,sub,0,ok,
2026-08-11T1439Z,futbolfantasy,espanyol,Kike García,kike-garcia,sub,0,injured,Rotura completa del tendón proximal del bíceps femoral Desde 01/08 (10 días) Baja hasta diciembre
2026-08-11T1439Z,futbolfantasy,espanyol,Javi Puado,javi-puado,sub,0,injured,Rotura de lig. cruzado anterior Desde 11/01 (212 días) Baja hasta noviembre-diciembre
2026-08-11T1439Z,futbolfantasy,getafe,Martín Satriano,martin-satriano,starter,90,ok,
2026-08-11T1439Z,futbolfantasy,getafe,Mario Martín,mario-martin,starter,80,ok,
2026-08-11T1439Z,futbolfantasy,getafe,David Soria,david-soria,starter,95,ok,
2026-08-11T1439Z,futbolfantasy,getafe,Ramón Terrats,terrats,starter,80,ok,
2026-08-11T1439Z,futbolfantasy,getafe,Orel Mangala,orel-mangala,starter,50,ok,
2026-08-11T1439Z,futbolfantasy,getafe,Davinchi,davinchi,starter,80,ok,
2026-08-11T1439Z,futbolfantasy,getafe,Zaid Romero,zaid-romero,starter,90,ok,
2026-08-11T1439Z,futbolfantasy,getafe,Dakonam Djené,dakonam-djene,starter,90,ok,
2026-08-11T1439Z,futbolfantasy,getafe,Kiko Femenia,kiko-femenia,starter,70,ok,
2026-08-11T1439Z,futbolfantasy,getafe,Andrés García,andres-garcia,starter,70,ok,
2026-08-11T1439Z,futbolfantasy,getafe,Abdel Abqar,abdel-abqar,starter,70,ok,
2026-08-11T1439Z,futbolfantasy,getafe,Sebastián Boselli,sebastian-boselli,sub,50,ok,
2026-08-11T1439Z,futbolfantasy,getafe,Borja Mayoral,borja-mayoral,sub,40,ok,
2026-08-11T1439Z,futbolfantasy,getafe,Saba Sazonov,saba-sazonov,sub,30,ok,
2026-08-11T1439Z,futbolfantasy,getafe,Juan Berrocal,juan-berrocal,sub,30,ok,
2026-08-11T1439Z,futbolfantasy,getafe,Jean Ives Valou,jean-ives-valou,sub,30,ok,
2026-08-11T1439Z,futbolfantasy,getafe,Álex Sancris,lex-sancris,sub,20,ok,
2026-08-11T1439Z,futbolfantasy,getafe,Ismael Bekhoucha,ismael-bekhoucha,sub,20,ok,
2026-08-11T1439Z,futbolfantasy,getafe,Javi Muñoz,javi-munoz,sub,10,ok,
