observed_at,season,player_name,player_name_full,team,points,games,avg
2026-08-11T1439Z,2025-26,Luis Vázquez,Luis Vázquez,Getafe,78,17,4.590
2026-08-11T1439Z,2025-26,Boselli,Sebastián Boselli,Getafe,32,11,2.910
2026-08-11T1439Z,2025-26,Birmancevic,Veljko Birmancevic,Getafe,10,6,1.670
2026-08-11T1439Z,2025-26,Cáceres,Damián Cáceres,Getafe,0,3,0.000
2026-08-11T1439Z,2025-26,Morales,José Luis Morales,Levante,53,20,2.650
2026-08-11T1439Z,2025-26,Elgezabal,Unai Elgezabal,Levante,33,12,2.750
2026-08-11T1439Z,2025-26,Pampín,Diego Pampín,Levante,22,8,2.750
2026-08-11T1439Z,2025-26,Toljan,Jeremy Toljan,Levante,118,37,3.190
2026-08-11T1439Z,2025-26,Lozano,Sergio Lozano,Levante,2,1,2.000
2026-08-11T1439Z,2025-26,De la Fuente,Adrián de la Fuente,Levante,153,33,4.640
2026-08-11T1439Z,2025-26,Manu Sánchez,Manu Sánchez,Levante,113,33,3.420
2026-08-11T1439Z,2025-26,Pablo Martínez,Pablo Martínez,Levante,142,27,5.260
2026-08-11T1439Z,2025-26,Iván Romero,Iván Romero,Levante,144,32,4.500
2026-08-11T1439Z,2025-26,Víctor García,Víctor García,Levante,80,21,3.810
2026-08-11T1439Z,2025-26,Vencedor,Unai Vencedor,Levante,38,16,2.380
2026-08-11T1439Z,2025-26,Oriol Rey,Oriol Rey,Levante,61,20,3.050
2026-08-11T1439Z,2025-26,C. Álvarez,Carlos Álvarez,Levante,113,30,3.770
2026-08-11T1439Z,2025-26,Brugui,Roger Brugué,Levante,53,19,2.790
2026-08-11T1439Z,2025-26,Primo,Alejandro Primo,Levante,0,0,0.000
2026-08-11T1439Z,2025-26,Cuñat Campos,Pablo Campos,Levante,14,2,7.000
2026-08-11T1439Z,2025-26,Carlos Espí,Carlos Espí,Levante,123,25,4.920
2026-08-11T1439Z,2025-26,Jorge Cabello,Jorge Cabello,Levante,8,5,1.600
2026-08-11T1439Z,2025-26,Cortés,Paco Cortés,Levante,34,12,2.830
2026-08-11T1439Z,2025-26,Moreno,Matías Moreno,Levante,130,28,4.640
2026-08-11T1439Z,2025-26,Nacho Pérez,Nacho Pérez,Levante,9,3,3.000
2026-08-11T1439Z,2025-26,Caye,Cayetano Romero,Levante,0,0,0.000
2026-08-11T1439Z,2025-26,Joan Ruiz,Joan Ruiz,Levante,0,0,0.000
2026-08-11T1439Z,2025-26,Losada,Iker Losada,Levante,77,23,3.350
2026-08-11T1439Z,2025-26,Ryan,Mathew Ryan,Levante,229,36,6.360
2026-08-11T1439Z,2025-26,Olasagasti,Jon Ander Olasagasti,Levante,116,33,3.520
2026-08-11T1439Z,2025-26,Krug,Martín Krug,Levante,0,0,0.000
2026-08-11T1439Z,2025-26,Arriaga,Kervin Arriaga,Levante,118,27,4.370
2026-08-11T1439Z,2025-26,Koyalipou,Goduine Koyalipou,Levante,28,11,2.550
2026-08-11T1439Z,2025-26,Matturro,Alan Matturro,Levante,66,19,3.470
2026-08-11T1439Z,2025-26,Nakoha,Huseini Nakoha,Levante,0,0,0.000
2026-08-11T1439Z,2025-26,Tunde,Kareem Tunde,Levante,53,21,2.520
2026-08-11T1439Z,2025-26,Raghouber,Ugo Raghouber,Levante,46,16,2.880
2026-08-11T1439Z,2025-26,Abed,Tai Abed,Levante,0,7,0.000
2026-08-11T1439Z,2025-26,Cervera,Dani Cervera,Levante,0,0,0.000
2026-08-11T1439Z,2025-26,Abdon,Abdon Prats,Mallorca,22,15,1.470
2026-08-11T1439Z,2025-26,Mascarell,Omar Mascarell,Mallorca,138,30,4.600
2026-08-11T1439Z,2025-26,Mojica,Johan Mojica,Mallorca,130,35,3.710
2026-08-11T1439Z,2025-26,Darder,Sergi Darder,Mallorca,200,38,5.260
2026-08-11T1439Z,2025-26,Raíllo,Antonio Raíllo,Mallorca,90,24,3.750
2026-08-11T1439Z,2025-26,Lato,Antonio Lato,Mallorca,31,12,2.580
2026-08-11T1439Z,2025-26,Morlanes,Manuel Morlanes,Mallorca,122,32,3.810
2026-08-11T1439Z,2025-26,Valjent,Martin Valjent,Mallorca,154,37,4.160
2026-08-11T1439Z,2025-26,Dani Rodríguez,Dani Rodríguez,Mallorca,3,2,1.500
2026-08-11T1439Z,2025-26,Asano,Takuma Asano,Mallorca,43,20,2.150
2026-08-11T1439Z,2025-26,Antonio,Antonio Sánchez,Mallorca,59,30,1.970
2026-08-11T1439Z,2025-26,Morey,Mateu Morey,Mallorca,33,18,1.830
2026-08-11T1439Z,2025-26,Muriqi,Vedat Muriqi,Mallorca,234,37,6.320
2026-08-11T1439Z,2025-26,Leo Román,Leo Román,Mallorca,165,33,5.000
2026-08-11T1439Z,2025-26,Bergstrom,Lucas Bergstrom,Mallorca,36,5,7.200
2026-08-11T1439Z,2025-26,Llabrés,Javi Llabrés,Mallorca,27,16,1.690
2026-08-11T1439Z,2025-26,Pablo Torre,Pablo Torre,Mallorca,146,35,4.170
2026-08-11T1439Z,2025-26,Doménech,Marc Doménech,Mallorca,20,7,2.860
2026-08-11T1439Z,2025-26,Joseph,Mateo Joseph,Mallorca,112,29,3.860
