player_name,player_name_full,team,points,games,avg,ff_id,season,observed_at,source_url
Boselli,Sebastián Boselli,Getafe,32,11,2.910,17161,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Birmancevic,Veljko Birmancevic,Getafe,10,6,1.670,9488,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Cáceres,Damián Cáceres,Getafe,0,3,0.000,17563,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Morales,José Luis Morales,Levante,53,20,2.650,851,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Elgezabal,Unai Elgezabal,Levante,33,12,2.750,3158,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Pampín,Diego Pampín,Levante,22,8,2.750,3833,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Toljan,Jeremy Toljan,Levante,118,37,3.190,4976,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Lozano,Sergio Lozano,Levante,2,1,2.000,5062,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
De la Fuente,Adrián de la Fuente,Levante,153,33,4.640,6346,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Manu Sánchez,Manu Sánchez,Levante,113,33,3.420,6605,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Pablo Martínez,Pablo Martínez,Levante,142,27,5.260,7614,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Iván Romero,Iván Romero,Levante,144,32,4.500,7629,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Víctor García,Víctor García,Levante,80,21,3.810,7644,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Vencedor,Unai Vencedor,Levante,38,16,2.380,7737,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Oriol Rey,Oriol Rey,Levante,61,20,3.050,8088,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
C. Álvarez,Carlos Álvarez,Levante,113,30,3.770,8646,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Brugui,Roger Brugué,Levante,53,19,2.790,9157,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Primo,Alejandro Primo,Levante,0,0,0.000,10191,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Cuñat Campos,Pablo Campos,Levante,14,2,7.000,11807,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Carlos Espí,Carlos Espí,Levante,123,25,4.920,12870,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Jorge Cabello,Jorge Cabello,Levante,8,5,1.600,12879,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Cortés,Paco Cortés,Levante,34,12,2.830,13145,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Moreno,Matías Moreno,Levante,130,28,4.640,14172,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Nacho Pérez,Nacho Pérez,Levante,9,3,3.000,16020,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Caye,Cayetano Romero,Levante,0,0,0.000,16270,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Joan Ruiz,Joan Ruiz,Levante,0,0,0.000,16271,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Losada,Iker Losada,Levante,77,23,3.350,7201,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Ryan,Mathew Ryan,Levante,229,36,6.360,1743,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Olasagasti,Jon Ander Olasagasti,Levante,116,33,3.520,8961,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Krug,Martín Krug,Levante,0,0,0.000,13748,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Arriaga,Kervin Arriaga,Levante,118,27,4.370,14989,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Koyalipou,Goduine Koyalipou,Levante,28,11,2.550,16224,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Matturro,Alan Matturro,Levante,66,19,3.470,11627,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Nakoha,Huseini Nakoha,Levante,0,0,0.000,16924,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Tunde,Kareem Tunde,Levante,53,21,2.520,16022,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Raghouber,Ugo Raghouber,Levante,46,16,2.880,16571,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Abed,Tai Abed,Levante,0,7,0.000,15086,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Cervera,Dani Cervera,Levante,0,0,0.000,16934,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Abdon,Abdon Prats,Mallorca,22,15,1.470,605,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Mascarell,Omar Mascarell,Mallorca,138,30,4.600,785,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Mojica,Johan Mojica,Mallorca,130,35,3.710,899,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Darder,Sergi Darder,Mallorca,200,38,5.260,930,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Raíllo,Antonio Raíllo,Mallorca,90,24,3.750,1998,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Lato,Antonio Lato,Mallorca,31,12,2.580,2736,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Morlanes,Manuel Morlanes,Mallorca,122,32,3.810,5061,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
